+-------+--------+------------------------------------------+------------+----------+----------+------------+
|  PID  | Parent |                   Name                   |   State    |  Memory  | #Threads | Open Files |
+-------+--------+------------------------------------------+------------+----------+----------+------------+
| 1     | 0      | systemd                                  | sleeping   | 10656  K | 1        | 112        |
| 2     | 0      | kthreadd                                 | sleeping   | 0      K | 1        | 0          |
| 3     | 0      | rcu_gp                                   | idle       | 0      K | 1        | 0          |
| 4     | 0      | rcu_par_gp                               | idle       | 0      K | 1        | 0          |
| 6     | 0      | kworker/0:0H-kblockd                     | idle       | 0      K | 1        | 0          |
| 8     | 0      | mm_percpu_wq                             | idle       | 0      K | 1        | 0          |
| 9     | 0      | ksoftirqd/0                              | sleeping   | 0      K | 1        | 0          |
| 10    | 0      | rcu_preempt                              | idle       | 0      K | 1        | 0          |
| 11    | 0      | rcuc/0                                   | sleeping   | 0      K | 1        | 0          |
| 12    | 0      | rcub/0                                   | sleeping   | 0      K | 1        | 0          |
| 13    | 0      | migration/0                              | sleeping   | 0      K | 1        | 0          |
| 14    | 0      | idle_inject/0                            | sleeping   | 0      K | 1        | 0          |
| 16    | 0      | cpuhp/0                                  | sleeping   | 0      K | 1        | 0          |
| 17    | 0      | cpuhp/1                                  | sleeping   | 0      K | 1        | 0          |
| 18    | 0      | idle_inject/1                            | sleeping   | 0      K | 1        | 0          |
| 19    | 0      | migration/1                              | sleeping   | 0      K | 1        | 0          |
| 20    | 0      | rcuc/1                                   | sleeping   | 0      K | 1        | 0          |
| 21    | 0      | ksoftirqd/1                              | sleeping   | 0      K | 1        | 0          |
| 23    | 0      | kworker/1:0H-kblockd                     | idle       | 0      K | 1        | 0          |
| 24    | 0      | cpuhp/2                                  | sleeping   | 0      K | 1        | 0          |
| 25    | 0      | idle_inject/2                            | sleeping   | 0      K | 1        | 0          |
| 26    | 0      | migration/2                              | sleeping   | 0      K | 1        | 0          |
| 27    | 0      | rcuc/2                                   | sleeping   | 0      K | 1        | 0          |
| 28    | 0      | ksoftirqd/2                              | sleeping   | 0      K | 1        | 0          |
| 30    | 0      | kworker/2:0H-kblockd                     | idle       | 0      K | 1        | 0          |
| 31    | 0      | cpuhp/3                                  | sleeping   | 0      K | 1        | 0          |
| 32    | 0      | idle_inject/3                            | sleeping   | 0      K | 1        | 0          |
| 33    | 0      | migration/3                              | sleeping   | 0      K | 1        | 0          |
| 34    | 0      | rcuc/3                                   | sleeping   | 0      K | 1        | 0          |
| 35    | 0      | ksoftirqd/3                              | sleeping   | 0      K | 1        | 0          |
| 37    | 0      | kworker/3:0H-kblockd                     | idle       | 0      K | 1        | 0          |
| 38    | 0      | cpuhp/4                                  | sleeping   | 0      K | 1        | 0          |
| 39    | 0      | idle_inject/4                            | sleeping   | 0      K | 1        | 0          |
| 40    | 0      | migration/4                              | sleeping   | 0      K | 1        | 0          |
| 41    | 0      | rcuc/4                                   | sleeping   | 0      K | 1        | 0          |
| 42    | 0      | ksoftirqd/4                              | sleeping   | 0      K | 1        | 0          |
| 44    | 0      | kworker/4:0H-kblockd                     | idle       | 0      K | 1        | 0          |
| 45    | 0      | cpuhp/5                                  | sleeping   | 0      K | 1        | 0          |
| 46    | 0      | idle_inject/5                            | sleeping   | 0      K | 1        | 0          |
| 47    | 0      | migration/5                              | sleeping   | 0      K | 1        | 0          |
| 48    | 0      | rcuc/5                                   | sleeping   | 0      K | 1        | 0          |
| 49    | 0      | ksoftirqd/5                              | sleeping   | 0      K | 1        | 0          |
| 51    | 0      | kworker/5:0H-kblockd                     | idle       | 0      K | 1        | 0          |
| 52    | 0      | cpuhp/6                                  | sleeping   | 0      K | 1        | 0          |
| 53    | 0      | idle_inject/6                            | sleeping   | 0      K | 1        | 0          |
| 54    | 0      | migration/6                              | sleeping   | 0      K | 1        | 0          |
| 55    | 0      | rcuc/6                                   | sleeping   | 0      K | 1        | 0          |
| 56    | 0      | ksoftirqd/6                              | sleeping   | 0      K | 1        | 0          |
| 58    | 0      | kworker/6:0H-kblockd                     | idle       | 0      K | 1        | 0          |
| 59    | 0      | cpuhp/7                                  | sleeping   | 0      K | 1        | 0          |
| 60    | 0      | idle_inject/7                            | sleeping   | 0      K | 1        | 0          |
| 61    | 0      | migration/7                              | sleeping   | 0      K | 1        | 0          |
| 62    | 0      | rcuc/7                                   | sleeping   | 0      K | 1        | 0          |
| 63    | 0      | ksoftirqd/7                              | sleeping   | 0      K | 1        | 0          |
| 65    | 0      | kworker/7:0H-kblockd                     | idle       | 0      K | 1        | 0          |
| 66    | 0      | kdevtmpfs                                | sleeping   | 0      K | 1        | 0          |
| 67    | 0      | netns                                    | idle       | 0      K | 1        | 0          |
| 68    | 0      | rcu_tasks_kthre                          | sleeping   | 0      K | 1        | 0          |
| 69    | 0      | kauditd                                  | sleeping   | 0      K | 1        | 0          |
| 72    | 0      | khungtaskd                               | sleeping   | 0      K | 1        | 0          |
| 73    | 0      | oom_reaper                               | sleeping   | 0      K | 1        | 0          |
| 74    | 0      | writeback                                | idle       | 0      K | 1        | 0          |
| 75    | 0      | kcompactd0                               | sleeping   | 0      K | 1        | 0          |
| 76    | 0      | ksmd                                     | sleeping   | 0      K | 1        | 0          |
| 77    | 0      | khugepaged                               | sleeping   | 0      K | 1        | 0          |
| 78    | 0      | crypto                                   | idle       | 0      K | 1        | 0          |
| 79    | 0      | kintegrityd                              | idle       | 0      K | 1        | 0          |
| 80    | 0      | kblockd                                  | idle       | 0      K | 1        | 0          |
| 84    | 0      | edac-poller                              | idle       | 0      K | 1        | 0          |
| 87    | 0      | devfreq_wq                               | idle       | 0      K | 1        | 0          |
| 88    | 0      | watchdogd                                | sleeping   | 0      K | 1        | 0          |
| 90    | 0      | kswapd0                                  | sleeping   | 0      K | 1        | 0          |
| 175   | 0      | kthrotld                                 | idle       | 0      K | 1        | 0          |
| 176   | 0      | irq/122-aerdrv                           | sleeping   | 0      K | 1        | 0          |
| 177   | 0      | irq/123-aerdrv                           | sleeping   | 0      K | 1        | 0          |
| 178   | 0      | irq/124-aerdrv                           | sleeping   | 0      K | 1        | 0          |
| 179   | 0      | acpi_thermal_pm                          | idle       | 0      K | 1        | 0          |
| 180   | 0      | nvme-wq                                  | idle       | 0      K | 1        | 0          |
| 181   | 0      | nvme-reset-wq                            | idle       | 0      K | 1        | 0          |
| 182   | 0      | nvme-delete-wq                           | idle       | 0      K | 1        | 0          |
| 183   | 0      | ipv6_addrconf                            | idle       | 0      K | 1        | 0          |
| 194   | 0      | kstrp                                    | idle       | 0      K | 1        | 0          |
| 211   | 0      | charger_manager                          | idle       | 0      K | 1        | 0          |
| 242   | 0      | ata_sff                                  | idle       | 0      K | 1        | 0          |
| 245   | 0      | scsi_eh_0                                | sleeping   | 0      K | 1        | 0          |
| 246   | 0      | scsi_tmf_0                               | idle       | 0      K | 1        | 0          |
